ID;ente;segnatura;titolo;incipit;data;Lib_note;Img_ID2;link_img
1;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_01.jpg
2;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_02_03.jpg
3;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_04_05.jpg
4;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_06_07.jpg
5;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_08_09.jpg
6;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_10_11.jpg
7;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_12_13.jpg
8;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_14_15.jpg
9;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_16_17.jpg
10;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_18_19.jpg
11;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_20_21.jpg
12;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_22_23.jpg
13;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_24_25.jpg
14;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_26_27.jpg
15;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_28_29.jpg
16;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_30_31.jpg
17;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_32_33.jpg
18;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_34_35.jpg
19;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_36_37.jpg
20;BCA;17_IX_001;Descrittione della vita di Giulio Cesare Croce. Con due Indici, l'uno dell'opere stampate, e l'altro di quelle che vi sono da stampare.;Da persona di fede, e di credenza, / Illustre mio Signor, ho udito dire;;;1;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_001_38_39.jpg
21;BCA;17_IX_002;Stanze nel nobilissimo torneo, fatto per le felicissime nozze de gli illustrissimi signori, il signor Piriteo Malvezzi, et sig. donna Beatrice Orsini.;Canto l'altro trionfo, e il bel torneo, / Che tal visto non fu, molt'anni, e lustri;1585;;2;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_002_01.jpg
22;BCA;17_IX_002;Stanze nel nobilissimo torneo, fatto per le felicissime nozze de gli illustrissimi signori, il signor Piriteo Malvezzi, et sig. donna Beatrice Orsini.;Canto l'altro trionfo, e il bel torneo, / Che tal visto non fu, molt'anni, e lustri;1585;;2;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_002_02_03.jpg
23;BCA;17_IX_002;Stanze nel nobilissimo torneo, fatto per le felicissime nozze de gli illustrissimi signori, il signor Piriteo Malvezzi, et sig. donna Beatrice Orsini.;Canto l'altro trionfo, e il bel torneo, / Che tal visto non fu, molt'anni, e lustri;1585;;2;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_002_04_05.jpg
24;BCA;17_IX_002;Stanze nel nobilissimo torneo, fatto per le felicissime nozze de gli illustrissimi signori, il signor Piriteo Malvezzi, et sig. donna Beatrice Orsini.;Canto l'altro trionfo, e il bel torneo, / Che tal visto non fu, molt'anni, e lustri;1585;;2;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_002_06_07.jpg
25;BCA;17_IX_002;Stanze nel nobilissimo torneo, fatto per le felicissime nozze de gli illustrissimi signori, il signor Piriteo Malvezzi, et sig. donna Beatrice Orsini.;Canto l'altro trionfo, e il bel torneo, / Che tal visto non fu, molt'anni, e lustri;1585;;2;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_002_08_09.jpg
26;BCA;17_IX_002;Stanze nel nobilissimo torneo, fatto per le felicissime nozze de gli illustrissimi signori, il signor Piriteo Malvezzi, et sig. donna Beatrice Orsini.;Canto l'altro trionfo, e il bel torneo, / Che tal visto non fu, molt'anni, e lustri;1585;;2;http://badigit.comune.bologna.it/GCCroce/croce_750/17_IX_002_10_11.jpg
